DDATETIME,RECID,CONTENTS
"2018-12-08 16:05:00",110946,"【深圳市天气提示】#9-10日阴天有雨天气较寒冷#9日阴天有小雨，局部中雨，气温逐渐下降到11-12℃，天气渐转阴冷；10日早晨最低气温10-11℃；另外9-10日沿海和高地有6-8级偏北风；11日阴天间多云；12-13日受新一股冷空气影响，转干冷天气，最低气温降到10℃或以下，白天可见阳光；14日起冷空气影响趋于结束，早晚清凉，白天温暖。深圳市气象台2018年12月08日16时05分发布"
"2018-12-15 16:00:00",111246,"【深圳市天气提示】#未来三天空气干燥，白天温暖#16日多云到晴天，气温16-23℃，早晚清凉；17-18日天晴干燥，日温差较大；19-22日多云为主，早晚有轻雾，天气温暖。火险预警信号生效中，需注意防火。深圳市气象台2018年12月15日16时发布"
"2018-12-19 16:15:00",111426,"【深圳市天气提示】#未来3天气温继续回升，早晚有轻雾#20日多云，19-25℃；21-22日多云间阴天，天气温暖，早晚有轻雾；23-24日受弱冷空气影响，有零星小雨，气温略降；25日可见阳光；展望26日起受新一股冷空气影响，气温下降。深圳市气象台2018年12月19日16时15分发布"
"2018-12-24 16:00:00",111646,"【深圳市天气提示】#明日天气回暖，27日起气温逐日下降#25-26日多云间阴天，可见阳光，早晚有轻雾，25日气温16-22℃；受冷空气持续影响，27-28日云量增多，北风加大，有分散小雨，气温逐渐下降；29日起将出现持续阴冷天气，北风强劲，最低气温将降至10℃以下。深圳市气象台2018年12月24日16时发布"
"2018-12-27 16:00:00",111806,"【深圳市天气提示】#28日起我市气温明显下降，29日至元月3日天气寒冷#预计28日起我市受冷空气持续影响，气温明显下降，29日-元月3日天气寒冷，间中有小雨、天气阴冷，期间最低气温7-8℃左右，沿海及高地最大阵风7-9级。建议提前做好防寒救助、疾病预防和一氧化碳中毒、大风等防范、宣传和管理工作。深圳市气象台2018年12月27日16时00分发布"
"2019-01-03 16:00:00",112146,"【深圳市天气提示】#寒冷天气结束，明后天有轻微回南#4-5日温度和湿度明显上升，早晚有轻雾，其中4日气温14-18℃；5日下午到9日受弱冷空气影响，气温小幅波动，早晚有轻雾，间中有小雨，部分时间可见阳光。未来一周早晚能见度下降，湿度加大，建议做好防范低能见度和潮湿天气的管理工作。深圳市气象台2019年01月03日16时00分发布"
"2019-01-15 16:05:00",112686,"【深圳市天气提示】#16-17日天气清凉#16-17日受冷空气影响，阴天，间中有小雨，气温下降，最低气温12℃左右，沿海和高地阵风6-7级，16日气温13-18℃；18-20日间中有小雨，气温回升；21日阴天有小雨转多云，气温下降；22日起天气晴朗干燥。请注意低能见度对海陆交通的影响，气温变化大，注意疾病预防。深圳市气象台2019年01月15日16时05分发布"
"2019-01-16 15:35:00",112747,"【深圳市天气提示】#未来两天阳光增多#17-18日转多云可见阳光，早晚较冷，沿海高地有5-6级阵风，17日气温13-19℃；19-20日气温回升，湿度上升，早晚有轻雾，间中有零星小雨；21日受新一股冷空气影响，阴天有小雨气温下降；展望22日起天气晴朗干燥。冷暖转换节奏快，注意疾病预防。深圳市气象台2019年01月16日16时发布"
"2019-01-17 16:00:00",112806,"【深圳市天气提示】#18-19可见阳光#18-19日多云间阴天，可见阳光，早晚清凉，18日气温14-21℃；20日阴天间多云，间中有零星小雨，气温回升，天气温暖，早晚有轻雾；21日受新一股冷空气影响，阴天有小雨气温下降；展望22日起天气晴朗干燥。未来几天冷暖转换节奏快，注意疾病预防。深圳市气象台2019年01月17日16时00分发布"
"2019-01-19 16:00:00",112927,"【深圳市天气提示】#明天夜间冷空气来深#20日阴天间多云，有轻雾或霾，偶有零星小雨，气温17-23℃；21日受冷空气影响，有分散小雨，气温下降，北风加大，沿海和高地最大阵风7级左右，22日起转晴朗干燥，22-23日早晨最低气温降至10℃左右，24-26日维持晴朗干燥，日温差大，早晚较冷。下周初沿海和高地注意防风；下周的日温差大，注意疾病预防。深圳市气象台2019年01月19日16时00分发布"
