"s_info_compname"	"s_info_windcode"	"s_info_name"	"id"
"辽宁曙光汽车集团股份有限公司"	"600303.SH"	"ST曙光"	"1"
"江苏恒顺醋业股份有限公司"	"600305.SH"	"恒顺醋业"	"2"
"甘肃酒钢集团宏兴钢铁股份有限公司"	"600307.SH"	"酒钢宏兴"	"3"
"山东华泰纸业股份有限公司"	"600308.SH"	"华泰股份"	"4"
"万华化学集团股份有限公司"	"600309.SH"	"万华化学"	"5"
"广西桂东电力股份有限公司"	"600310.SH"	"桂东电力"	"6"
"河南平高电气股份有限公司"	"600312.SH"	"平高电气"	"7"
"上海家化联合股份有限公司"	"600315.SH"	"上海家化"	"8"
"江西洪都航空工业股份有限公司"	"600316.SH"	"洪都航空"	"9"
"上海振华重工(集团)股份有限公司"	"600320.SH"	"振华重工"	"10"
"天津市房地产发展(集团)股份有限公司"	"600322.SH"	"天房发展"	"11"
"无锡商业大厦大东方股份有限公司"	"600327.SH"	"大东方"	"12"
"中盐内蒙古化工股份有限公司"	"600328.SH"	"中盐化工"	"13"
"津药达仁堂集团股份有限公司"	"600329.SH"	"达仁堂"	"14"
"广州白云山医药集团股份有限公司"	"600332.SH"	"白云山"	"15"
"长春燃气股份有限公司"	"600333.SH"	"长春燃气"	"16"
"国机汽车股份有限公司"	"600335.SH"	"国机汽车"	"17"
"澳柯玛股份有限公司"	"600336.SH"	"澳柯玛"	"18"
"陕西航天动力高科技股份有限公司"	"600343.SH"	"航天动力"	"19"
"武汉长江通信产业集团股份有限公司"	"600345.SH"	"长江通信"	"20"
"山东高速股份有限公司"	"600350.SH"	"山东高速"	"21"
"浙江龙盛集团股份有限公司"	"600352.SH"	"浙江龙盛"	"22"
"成都旭光电子股份有限公司"	"600353.SH"	"旭光电子"	"23"
"精伦电子股份有限公司"	"600355.SH"	"精伦电子"	"24"
"承德新新钒钛股份有限公司"	"600357.SH"	"承德钒钛(退市)"	"25"
"吉林华微电子股份有限公司"	"600360.SH"	"华微电子"	"26"
"江西铜业股份有限公司"	"600362.SH"	"江西铜业"	"27"
"通化葡萄酒股份有限公司"	"600365.SH"	"ST通葡"	"28"
"宁波韵升股份有限公司"	"600366.SH"	"宁波韵升"	"29"
"广西五洲交通股份有限公司"	"600368.SH"	"五洲交通"	"30"
"西南证券股份有限公司"	"600369.SH"	"西南证券"	"31"
"江苏宁沪高速公路股份有限公司"	"600377.SH"	"宁沪高速"	"32"
"陕西宝光真空电器股份有限公司"	"600379.SH"	"宝光股份"	"33"
"广东明珠集团股份有限公司"	"600382.SH"	"ST广珠"	"34"
"金地(集团)股份有限公司"	"600383.SH"	"金地集团"	"35"
"福建龙净环保股份有限公司"	"600388.SH"	"ST龙净"	"36"
"南通江山农药化工股份有限公司"	"600389.SH"	"江山股份"	"37"
"盛和资源控股股份有限公司"	"600392.SH"	"盛和资源"	"38"
"国电南瑞科技股份有限公司"	"600406.SH"	"国电南瑞"	"39"
"唐山三友化工股份有限公司"	"600409.SH"	"三友化工"	"40"
"北京华胜天成科技股份有限公司"	"600410.SH"	"华胜天成"	"41"
"武汉祥龙电业股份有限公司"	"600769.SH"	"祥龙电业"	"42"
"江苏综艺股份有限公司"	"600770.SH"	"综艺股份"	"43"
"湘潭电机股份有限公司"	"600416.SH"	"湘电股份"	"44"
"昆药集团股份有限公司"	"600422.SH"	"昆药集团"	"45"
"北京三元食品股份有限公司"	"600429.SH"	"三元股份"	"46"
"北方导航控制技术股份有限公司"	"600435.SH"	"北方导航"	"47"
"漳州片仔癀药业股份有限公司"	"600436.SH"	"片仔癀"	"48"
"通威股份有限公司"	"600438.SH"	"通威股份"	"49"
"河南瑞贝卡发制品股份有限公司"	"600439.SH"	"瑞贝卡"	"50"
"华纺股份有限公司"	"600448.SH"	"华纺股份"	"51"
"重庆涪陵电力实业股份有限公司"	"600452.SH"	"涪陵电力"	"52"
"西安博通资讯股份有限公司"	"600455.SH"	"博通股份"	"53"
"宝鸡钛业股份有限公司"	"600456.SH"	"宝钛股份"	"54"
"贵研铂业股份有限公司"	"600459.SH"	"贵研铂业"	"55"
"杭州士兰微电子股份有限公司"	"600460.SH"	"士兰微"	"56"
"北京空港科技园区股份有限公司"	"600463.SH"	"空港股份"	"57"
"天津百利特精电气股份有限公司"	"600468.SH"	"百利电气"	"58"
"风神轮胎股份有限公司"	"600469.SH"	"风神股份"	"59"
"湖南湘邮科技股份有限公司"	"600476.SH"	"湘邮科技"	"60"
"湖南科力远新能源股份有限公司"	"600478.SH"	"科力远"	"61"
"株洲千金药业股份有限公司"	"600479.SH"	"千金药业"	"62"
"凌云工业股份有限公司"	"600480.SH"	"凌云股份"	"63"
"双良节能系统股份有限公司"	"600481.SH"	"双良节能"	"64"
"江苏扬农化工股份有限公司"	"600486.SH"	"扬农化工"	"65"
"江苏亨通光电股份有限公司"	"600487.SH"	"亨通光电"	"66"
"广誉远中药股份有限公司"	"600771.SH"	"广誉远"	"67"
"东方通信股份有限公司"	"600776.SH"	"东方通信"	"68"
"中储发展股份有限公司"	"600787.SH"	"中储股份"	"69"
"山东鲁抗医药股份有限公司"	"600789.SH"	"鲁抗医药"	"70"
"国电电力发展股份有限公司"	"600795.SH"	"国电电力"	"71"
"浙江钱江生物化学股份有限公司"	"600796.SH"	"钱江生化"	"72"
"浙大网新科技股份有限公司"	"600797.SH"	"浙大网新"	"73"
"天津渤海化学股份有限公司"	"600800.SH"	"渤海化学"	"74"
"华新水泥股份有限公司"	"600801.SH"	"华新水泥"	"75"
"鹏博士电信传媒集团股份有限公司"	"600804.SH"	"ST鹏博士"	"76"
"神马实业股份有限公司"	"600810.SH"	"神马股份"	"77"
"东方集团股份有限公司"	"600811.SH"	"东方集团"	"78"
"安信信托股份有限公司"	"600816.SH"	"ST安信"	"79"
"中路股份有限公司"	"600818.SH"	"中路股份"	"80"
"上海耀皮玻璃集团股份有限公司"	"600819.SH"	"耀皮玻璃"	"81"
"上海隧道工程股份有限公司"	"600820.SH"	"隧道股份"	"82"
"上海物资贸易股份有限公司"	"600822.SH"	"上海物贸"	"83"
"中金黄金股份有限公司"	"600489.SH"	"中金黄金"	"84"
"龙元建设集团股份有限公司"	"600491.SH"	"龙元建设"	"85"
"长江精工钢结构(集团)股份有限公司"	"600496.SH"	"精工钢构"	"86"
"航天晨光股份有限公司"	"600501.SH"	"航天晨光"	"87"
"华丽家族股份有限公司"	"600503.SH"	"华丽家族"	"88"
"新疆库尔勒香梨股份有限公司"	"600506.SH"	"香梨股份"	"89"
"方大特钢科技股份有限公司"	"600507.SH"	"方大特钢"	"90"
"新疆天富能源股份有限公司"	"600509.SH"	"天富能源"	"91"
"黑牡丹(集团)股份有限公司"	"600510.SH"	"黑牡丹"	"92"
"江苏联环药业股份有限公司"	"600513.SH"	"联环药业"	"93"
"方大炭素新材料科技股份有限公司"	"600516.SH"	"方大炭素"	"94"
"浙江华海药业股份有限公司"	"600521.SH"	"华海药业"	"95"
"江苏中天科技股份有限公司"	"600522.SH"	"中天科技"	"96"
"贵州贵航汽车零部件股份有限公司"	"600523.SH"	"贵航股份"	"97"
"山东省药用玻璃股份有限公司"	"600529.SH"	"山东药玻"	"98"
"上海交大昂立股份有限公司"	"600530.SH"	"交大昂立"	"99"
"上海智汇未来医疗服务股份有限公司"	"600532.SH"	"未来股份"	"100"
"上海益民商业集团股份有限公司"	"600824.SH"	"益民集团"	"101"
"上海新华传媒股份有限公司"	"600825.SH"	"新华传媒"	"102"
"上海百联集团股份有限公司"	"600827.SH"	"百联股份"	"103"
"哈药集团人民同泰医药股份有限公司"	"600829.SH"	"人民同泰"	"104"
"上海机电股份有限公司"	"600835.SH"	"上海机电"	"105"
"上海港集装箱股份有限公司"	"T00018.SH"	"上港集箱(退市)"	"106"
"广东金莱特电器股份有限公司"	"002723.SZ"	"金莱特"	"107"
"东易日盛家居装饰集团股份有限公司"	"002713.SZ"	"东易日盛"	"108"
"南京栖霞建设股份有限公司"	"600533.SH"	"栖霞建设"	"109"
"北京市大龙伟业房地产开发股份有限公司"	"600159.SH"	"大龙地产"	"110"
"福建龙溪轴承(集团)股份有限公司"	"600592.SH"	"龙溪股份"	"111"
"河南豫光金铅股份有限公司"	"600531.SH"	"豫光金铅"	"112"
"上海大屯能源股份有限公司"	"600508.SH"	"上海能源"	"113"
"山西杏花村汾酒厂股份有限公司"	"600809.SH"	"山西汾酒"	"114"
"青海金瑞矿业发展股份有限公司"	"600714.SH"	"金瑞矿业"	"115"
"上海现代制药股份有限公司"	"600420.SH"	"国药现代"	"116"
"新余钢铁股份有限公司"	"600782.SH"	"新钢股份"	"117"
"北京昊华能源股份有限公司"	"601101.SH"	"昊华能源"	"118"
"烽火通信科技股份有限公司"	"600498.SH"	"烽火通信"	"119"
"青岛啤酒股份有限公司"	"600600.SH"	"青岛啤酒"	"120"
"江苏悦达投资股份有限公司"	"600805.SH"	"悦达投资"	"121"
"上海中西药业股份有限公司"	"600842.SH"	"中西药业(退市)"	"122"
"中油龙昌股份有限公司"	"600772.SH"	"S*ST龙昌(退市)"	"123"
